id,n_victimas,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado,direccion_normalizada,rol,sexo,edad,fecha_hora,fecha_fallecimiento,categoria_edad,encrucijada
2016-0031,1,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",CONDUCTOR,MASCULINO,21,2016-03-08 12:30:00,2016-03-08,18-29,True
2016-0034,1,AVENIDA,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",PEATON,MASCULINO,52,2016-03-12 12:30:00,2016-03-12,45-64,True
2016-0035,1,AVENIDA,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CORRIENTES AV. y CALLAO AV.,CONDUCTOR,MASCULINO,34,2016-03-13 06:00:00,2016-03-13,30-44,True
2016-0036,1,CALLE,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,"HERRERA y VALLE, ARISTOBULO DEL",PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14 00:15:00,2016-03-14,30-44,True
2016-0037,1,AVENIDA,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,LAFUENTE AV. y QUIRNO,CONDUCTOR,MASCULINO,20,2016-03-19 11:00:00,2016-03-19,18-29,True
2016-0038,1,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,"PAZ, GRAL. AV. y ZUVIRIA",PEATON,MASCULINO,29,2016-03-21 08:06:00,2016-03-21,18-29,True
2016-0039,1,AVENIDA,3,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS,"MITRE, BARTOLOME y PUEYRREDON AV.",CONDUCTOR,MASCULINO,20,2016-03-23 01:50:00,2016-03-23,18-29,True
2016-0041,1,AVENIDA,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,DIRECTORIO AV. y RIVERA INDARTE AV.,CONDUCTOR,MASCULINO,54,2016-03-29 11:00:00,2016-03-29,45-64,True
2016-0041,1,AVENIDA,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,DIRECTORIO AV. y RIVERA INDARTE AV.,PASAJERO_ACOMPAÑANTE,MASCULINO,35,2016-03-29 11:00:00,2016-03-30,30-44,True
2016-0043,1,AVENIDA,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",PEATON,FEMENINO,56,2016-03-30 18:15:00,2016-03-30,45-64,True
2016-0044,1,AVENIDA,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,"MORENO, JOSE MARIA AV. y BALBASTRO",CONDUCTOR,MASCULINO,24,2016-03-31 19:40:00,2016-03-31,18-29,True
2016-0045,1,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO-SD,MOTO,AUTO,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",CONDUCTOR,MASCULINO,35,2016-04-11 10:25:00,2016-04-11,30-44,True
2016-0047,1,CALLE,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,LIMA 1483,PEATON,MASCULINO,41,2016-04-15 05:30:00,2016-04-15,30-44,False
2016-0048,1,AVENIDA,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS,CORRIENTES AV. y DORREGO AV.,PEATON,FEMENINO,35,2016-04-15 17:40:00,2016-04-15,30-44,True
2016-0049,1,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,SD-SD,MOTO,AUTO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,CONDUCTOR,MASCULINO,35,2016-04-17 00:00:00,2016-04-17,30-44,False
2016-0050,1,AVENIDA,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",PEATON,MASCULINO,78,2016-04-19 09:50:00,2016-04-19,65+,True
2016-0051,1,AVENIDA,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",CONDUCTOR,MASCULINO,36,2016-04-20 04:00:00,2016-04-20,30-44,True
2016-0052,1,AUTOPISTA,13,-58.45450526820512,-34.551732894615384,MOTO-SD,MOTO,AUTO,AUTOPISTA LUGONES PK 10000,CONDUCTOR,MASCULINO,35,2016-04-20 20:00:00,2016-04-20,30-44,False
2016-0053,1,AVENIDA,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,TRIUNVIRATO AV. y OLAZABAL AV.,PEATON,MASCULINO,38,2016-04-22 09:30:00,2016-04-22,30-44,True
2016-0054,1,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",CONDUCTOR,MASCULINO,30,2016-04-23 21:00:00,2016-04-25,30-44,True
2016-0055,1,AVENIDA,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",PEATON,MASCULINO,79,2016-04-25 20:30:00,2016-04-28,65+,True
2016-0056,1,AVENIDA,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,"CAMPOS, LUIS M. AV. 30",CONDUCTOR,MASCULINO,26,2016-04-26 04:45:00,2016-04-26,18-29,False
2016-0058,1,CALLE,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,LIMA 1471,PEATON,FEMENINO,57,2016-05-04 14:00:00,2016-05-08,45-64,False
2016-0059,1,CALLE,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,CIUDADELA y LIMA,PEATON,MASCULINO,37,2016-05-08 16:30:00,2016-05-26,30-44,True
2016-0064,1,AVENIDA,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,"JUSTO, JUAN B. AV. y CARRASCO AV.",PEATON,MASCULINO,20,2016-05-14 18:11:00,2016-05-14,18-29,True
2016-0065,1,AVENIDA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,GAONA AV. y ESPINOSA,PEATON,MASCULINO,20,2016-05-20 14:40:00,2016-05-20,18-29,True
